ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
91,175,457190,이수스페셜티케미컬,기초 화학물질 제조업,1.9068,59200.0,63100.0,6.587837837837829,-24.24969987995198
92,115,111770,영원무역,상품 종합 도매업,3.8551,81800.0,87000.0,6.35696821515892,4.945717732207489
93,53,086280,현대글로비스,기타 운송관련 서비스업,14.37,180600.0,191600.0,6.0908084163898035,-8.105515587529977
94,64,323410,카카오뱅크,은행 및 저축기관,10.9261,21600.0,22900.0,6.018518518518512,-3.578947368421048
95,173,192820,코스맥스,기타 화학제품 제조업,1.9601,163000.0,172700.0,5.950920245398783,2.431791221826818
96,48,267250,HD현대,기타 금융업,15.7591,188500.0,199500.0,5.835543766578244,-18.237704918032783
97,110,066970,엘앤에프,일차전지 및 이차전지 제조업,4.0886,95200.0,100500.0,5.567226890756305,-25.0
98,154,081660,미스토홀딩스,생활용품 도매업,2.3706,42700.0,44650.0,4.566744730679151,4.444444444444451
99,15,034020,두산에너빌리티,일반 목적용 기계 제조업,50.0278,75300.0,78100.0,3.7184594953519223,-16.111707841031155
100,85,021240,코웨이,그외 기타 개인 서비스업,6.362,86900.0,89900.0,3.4522439585730647,1.011235955056189
101,56,030200,KT,전기 통신업,13.6596,52600.0,54200.0,3.041825095057038,-1.0948905109489093
102,80,090430,아모레퍼시픽,기타 화학제품 제조업,7.2005,119500.0,123100.0,3.0125523012552335,9.910714285714285
103,29,005490,POSCO홀딩스,1차 철강 제조업,24.8422,305000.0,313500.0,2.786885245901649,-16.843501326259947
104,199,003540,대신증권,금융 지원 서비스업,1.3227,27000.0,27750.0,2.777777777777768,-6.25
105,16,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업",49.8618,941000.0,967000.0,2.763018065887346,-10.296846011131722
106,73,443060,HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업",8.8412,193500.0,197200.0,1.9121447028423777,-20.32323232323232
107,39,138040,메리츠금융지주,기타 금융업,19.2449,113100.0,115000.0,1.6799292661361598,5.601469237832868
108,45,096770,SK이노베이션,석유 정제품 제조업,17.3955,101200.0,102900.0,1.679841897233203,-3.016022620169656
109,86,032640,LG유플러스,전기 통신업,6.3494,14720.0,14960.0,1.6304347826086918,-6.206896551724139
